mmsi,lat,lon,tradetype,callsign,hdg,trail,laststa,lastdyn,imo,satelliteutc,type,left,length,matchtype,draught,dest,width,name,cog,rot,navistatus,cnname,source,sog,eta,shipid
215626000,38961084,117728671,2,9HA2773,1600,320,1641356331,1643624846,9595747,0,70,210,1860,0,7500,"TIANJIN,CN",280,ELISAR,23800,0,5,,0,0,01-05 16:00,3B3C7D0DC6CD352F
352706000,38951909,117715624,2,3EFO8,1600,250,1643516221,1643624959,9117789,0,70,100,1850,1,5300,"TIANJIN,CN",300,HONG DE,7870,0,5,鸿德,0,0,01-11 03:00,1166D4B1D4F5EA59
413506163,38922571,118432994,99,,32900,40,1576986030,1615178148,0,0,70,20,490,1,0,,110,YUANFENG2020,6040,0,5,远丰2020,0,0,,9191282CB703930A
413506550,39015110,117752574,1,A,51100,100,1643439902,1643625069,0,0,80,50,530,1,3500,"TIANJIN,CN",90,XIN HAI YANG 6,36000,0,1,新海扬6,0,0,01-29 16:00,71D9E4249C842AA6
413528699,40306912,122155822,99,BOHF8,51100,320,1641441530,1641431806,0,0,70,120,1730,0,4500,"YANTAI,CN",240,47U5M9,1610,0,5,,0,617,04-01 21:02,2B1CBB0543E96951
413546000,29920304,122259981,1,BVAG8,33200,200,1643480023,1643621336,0,0,100,150,1400,1,5000,"ZHOUSHAN,CN",200,XIN HONG RUN 8,19700,0,1,新泓润8,0,0,01-26 08:00,03D728930B60AB50
413555519,38799214,117602342,99,0,8700,130,1642176313,1642672619,0,0,30,30,260,0,0,,60,5403,8790,1071,0,,0,0,01-01 00:00,40B7391DE7672DC0
413567788,39180983,118963271,99,HH,0,60,1642959228,1643624666,0,0,53,30,310,0,0,,60,HAI HANG 1 HAO,0,0,0,,0,0,01-01 00:00,2DCDA867D1CE9A96
413593440,39019617,117759367,1,BEMW4,15600,110,1643476178,1643624821,0,0,80,50,540,0,2800,"TIANJIN,CN",90,TONG RUN YOU 1,15670,0,5,,0,0,01-30 01:30,B8189BA35F8F23D8
477244500,40288767,122131596,2,VRSI4,27100,210,1643619687,1643624916,9442641,0,70,170,1900,0,6600,"YINGKOU,CN",320,FLC LONGIVITY,1150,0,5,,0,0,01-23 06:00,BD6FFBEC2FFA0182
414402480,36826302,122533455,1,BTJE9,25400,150,1643577207,1643624881,0,0,70,160,1450,1,8000,"ZHENHAI,CN",210,HUA YUN 12,16060,0,1,华运12,0,0,02-02 07:00,E1E814426DE3E385
412379680,40373902,122176069,1,BYMX,5400,170,1643603652,1643624670,0,0,70,80,970,0,4500,"BAYUQUAN,CN",160,KANG HENG TUAN JIE,0,0,5,,0,0,01-28 20:00,906BF1F490592B10
412620190,39062067,118462364,1,BLHF8,2900,170,1643515083,1643624735,0,0,70,50,980,0,3000,CHAO FEI DIANG      ,150,XIN GUANG SHUN,5500,0,5,,0,0,01-30 10:36,BC716DC3315C3E32
413696016,30946293,122706881,99,,18700,0,0,1564654607,,0,0,0,0,0,0,,0,,18510,-128,15,,0,4372,,25AB0BB800F69129
413696840,24436588,118145883,1,BVAE8,600,200,1643600229,1643624371,0,0,100,70,1400,1,5300,"XIAMEN,CN",200,XINHENGYANG7,19430,0,1,新恒扬7,0,206,01-25 21:00,E1B89D6E3DCB2A99
413452530,39158111,118938341,1,BLGA2,51100,260,1643549537,1643624213,0,0,70,200,1630,0,5500,"JING TANG,CN",260,WAN GUO SHUN DA,21070,0,5,,0,0,01-29 00:00,A474F052963F0F9A
413698790,38933474,118438687,1,BVHO8,32700,200,1643605565,1643624861,0,0,70,110,1450,1,4800,"CAOFEIDIAN,CN",200,HONG TAI 98,29220,0,5,弘泰98,0,0,01-29 08:00,494151422A9ECCC2
413702640,39221550,119049644,99,,25900,370,1643519142,1643526517,0,0,54,50,470,1,0,,90,YONG XING 699,25970,0,0,永星699,0,1183,,2B0889A57D283D73
413359860,30164123,122856056,1,BHAI2,18600,270,1643472917,1643625068,0,0,70,120,1730,1,10400,"GUANGZHOU,CN",240,ZHONG KAI FENG,18840,0,0,中凯丰,3,5813,02-05 12:00,E76069442F79A43D
413300580,39040605,117736615,1,BTXO,33200,220,1643435632,1643624890,0,0,70,80,880,1,3500,"TIANJIN,CN",130,BAO DONG 198,0,0,5,宝东198,0,0,01-29 13:55,2A4639F436933E36
355225000,35657423,123144454,2,HP3387,18200,200,1643510088,1643623376,9587996,0,70,130,1900,0,9500,"SINGAPORE,SG",320,HEILAN SPRING,17900,0,0,,0,6636,02-09 07:00,E824DFBC7EC277B1
413704004,38931183,118434720,99,,13700,0,0,1615561591,,0,0,0,0,0,0,,0,,9080,0,0,,0,257,,599A191C47A495F7
413314220,39172333,118954216,2,BSDZ,35100,290,1643622949,1643624489,9284348,0,70,100,1870,1,6800,"JING TANG,CN",310,ZHONG HAI HANG 11,20000,0,5,中海航11,0,0,01-30 14:50,4C9D8E640C16F5B2
538004462,39013526,117756647,2,V7XE9,11500,230,1643588038,1643624624,9632791,0,70,160,1900,0,6500,"TIANJIN,CN",320,YANGTZE ALPHA,11300,0,5,,0,0,01-31 12:30,67EBDAAE42DEF8BD
413428290,31522156,122717794,1,BKUH4,51100,160,1643502293,1643624737,0,0,70,70,960,1,5800,"ZHOUSHAN,CN",160,HUA SHENG HAI 15,17900,0,0,华盛海15,0,5402,02-01 07:00,77D1BE3DFE7F034A
413718683,30469067,117026258,99,,51000,0,0,1626954234,,0,0,0,0,0,0,,0,,36030,0,15,,0,514,,A2556849A4D86A05
413720979,40288444,122132341,99,,27000,0,0,1613020051,,0,0,0,0,0,0,,0,,33390,0,0,,0,51,,0CDF6FB046762E58
413762447,40211972,122047307,99,A09BDI,51100,70,1626330378,1638847813,0,0,50,20,140,1,0,,40,YING YIN 1 HAO,21510,0,0,营引1,0,257,,F37128304E83A459
413788299,38958560,117704933,99,IEIYMO,25300,350,1642997097,1643624496,0,0,53,40,500,1,2200,ZIANJIN             ,70,XINHAI 66,25350,0,5,新海66,0,0,01-24 12:00,DB8C24DDA94676EC
413797000,30401903,122460270,1,BVEP5,30200,250,1643430424,1643625006,0,0,70,120,1490,1,8800,"JIAXING,CN",210,XINGYUANZHOU6,24900,0,1,兴远舟6,0,0,01-28 23:00,B159BAEA8CC67F1E
413278430,37885008,120838033,99,BOPG8,30200,200,1643550895,1643624917,0,0,70,80,990,1,5700,"RIZHAO,CN",160,DONG LI 9,2180,0,1,东丽9,0,206,02-01 15:00,65216A9C46ABB284
477723800,30954634,132193135,2,VRUG7,8400,290,1643297019,1643027889,9570486,1643622742,70,110,1990,0,11700,"BUENAVENTURA,CO",320,FORTUNE ISLAND,8640,1200,0,,0,6122,02-17 13:00,62E9225D0DB21E54
636014802,38591137,120259712,2,A8WP8,9100,280,1643582833,1643624019,9514418,0,70,220,1900,0,9500,"HONG KONG,CN",320,ARNICA,9500,0,0,,0,6688,01-05 06:00,612E2C4A4E2F716D
413879000,24503504,118059764,1,BIRQ,1300,280,1643515798,1643625060,9162590,0,70,200,2250,1,13900,"XIAMEN,CN",320,HUA HENG,30580,0,5,华衡,0,51,01-30 12:00,07E7A3FCA88FB1E1
412365680,40280251,122105366,1,BLAP4,51100,270,1643620764,1643624906,0,0,70,140,1470,1,4500,"BAYUQUAN,CN",210,JINGHUA100,0,0,5,京华100,0,0,01-30 09:00,14C19C906AB08EE0
413954460,39095989,117811943,99,,30300,0,0,1638287229,,0,0,0,0,0,0,,0,,31300,0,0,,0,720,,38EC4AC2AD2C3484
413285190,39258908,119042714,99,BORO4,17200,280,1643562769,1643624325,0,0,70,80,1280,0,4800,"JING TANG,CN",200,TIAN YU LIAN HE,12900,0,5,,0,0,01-30 00:00,A56436CC45627F08
414059962,38320127,117843867,99,560,24000,100,1614379477,1614379440,0,0,70,40,400,0,0,,80,,15350,0,1,,0,19755,,7119468E937BD9DD
413361180,27370261,121010703,1,BHXX2,8800,300,1643379233,1643624758,0,0,70,140,1400,1,7800,"GUANGZHOU,CN",200,SHUN TAI,8770,0,1,顺泰,0,154,02-04 00:00,F48655EB7B05D89B
414224010,38946586,117690006,99,,30600,0,0,1640650682,,0,0,0,0,0,0,,0,,29720,1200,5,,0,4218,,A4E6CD0331D5054C
414286008,39020748,117771793,99,,29300,0,0,1640429349,,0,0,0,0,0,0,,0,,12360,0,5,,0,0,,0265C8DF20838FB6
414341032,38408683,120858872,99,,11300,0,0,1631507791,,0,0,0,0,0,0,,0,,11730,1,0,,0,5299,,8BA92168E34E926D
414360256,39001075,117725122,99,,29300,0,0,1638520370,,0,0,0,0,0,0,,0,,25110,0,5,,0,51,,F721FF51C1880D24
413698690,36600343,122814972,1,BVNO7,18600,290,1643591955,1643624925,0,0,70,100,1990,1,10800,"CHANGJIANGKOU,CN",320,XIN HAI TONG 2,17860,9,0,新海通2,0,4321,02-02 08:00,B2409E987EAA55E3
114514191,38898475,118444895,99,114514,51100,260,1643187891,1643187321,0,0,0,30,410,1,0,,60,CAOGANG222,990,0,0,曹港222,0,257,,8C385971C2C1571E
414403870,38947549,117678545,1,0,51100,130,1643512163,1643624441,0,0,80,50,530,1,3000,"TIANJIN,CN",90,BINHAIYOU9,36000,0,5,滨海油9,0,0,01-28 21:30,EA1CD8C62BE84DA2
414408000,30374641,122622086,1,BTJG4,15100,240,1624944370,1624941913,9249257,0,70,30,1890,1,11200,"JIAXING,CN",320,ZHE NENG 2,22170,0,1,浙能2,0,0,06-28 18:00,4702D43F25C6B622
414456580,39025969,117754569,99,,0,30,1637301263,1642212314,0,0,30,20,180,1,0,,50,JIHUANGYUYUN01432,0,0,0,冀黄渔运01432,0,0,,ACEDC5A4F45430FD
413458848,14341730,125800728,99,,19500,100,1565772740,1623421802,0,0,70,60,530,1,0,,90,RONG NING 191,20990,125,6,荣宁191,0,23973,,C6EAF5745ED55594
414648000,39023816,117781199,2,BRCG,29500,280,1608364258,1609399651,9249908,0,70,200,1900,0,6000,"TIANJIN,CN",320,XIN HAI MING ZHU,800,0,5,,0,0,12-16 02:00,B111FFAE2AFD9B4D
414706632,38991747,118523075,99,,14700,0,0,1616808617,,0,0,0,0,0,0,,0,,31140,0,5,,0,51,,EE93D967C1FE5C1C
413324170,25388944,119705812,1,BDXP,21000,180,1642883341,1642988796,0,0,70,80,970,1,5900,FS,160,XIN RI MAO,20960,0,0,新日茂,0,4579,01-27 00:00,D21E9EF296CCDA1D
414814224,38916261,118428843,99,,9600,0,0,1615129928,,0,0,0,0,0,0,,0,,35580,0,5,,0,0,,1A690F1C549ED676
414384000,31605593,122952418,1,BTJE8,17900,330,1643521317,1643624718,9184304,0,70,110,2250,1,13300,"GUANGZHOU,CN",370,TIAN SHENG 27,18200,0,0,天盛27,0,5916,02-04 18:00,E7707A1F8D15A9FD
312844000,35870367,124694446,2,V3ZH8,14400,180,1643465558,1643602022,9673563,0,70,110,980,1,6000,"BUSAN,KR",160,TONG RUN 7,14300,0,0,通润7,0,4733,02-02 02:00,59D9FCBF3FACA903
413697270,38945317,117685164,1,BVKG7,51100,130,1643516795,1643624879,0,0,80,50,530,1,2500,"TIANJIN,CN",90,XIN HAI YANG 8 HAO,36000,0,5,新海扬8,0,0,01-30 16:30,A6D0130BF9FF27DD
476355480,40304479,122126809,99,,18000,0,0,1612658756,,0,0,0,0,0,0,,0,,23790,0,5,,0,0,,3047EB60B4A5C33D
477035200,-6653197,104807271,2,VRQP2,24300,290,1643338686,1642477905,9731896,1643624992,70,120,2000,0,10700,"PARANAGUA,BR",320,PACIFIC VICTORY,23600,0,0,,0,6739,02-13 12:00,C654228AEDA07524
636014624,38910622,118455045,2,A8VL8,4800,400,1643548994,1643624804,9469003,0,70,290,2920,0,13200,"CAOFEIDIAN,CN",450,BULK MEXICO,9960,0,5,,0,0,01-24 09:30,C18D4CF1A2415FE8
477181100,33542116,-126390482,2,VROQ8,12700,180,1643614238,1643587878,9738909,1643624946,70,250,1800,0,10000,"MANZANILLO (MEXICO),MX",290,INDIAN OCEAN,12580,0,0,,0,7048,02-04 12:00,F080EF158AEC2214
477183782,39016931,117772515,99,,29400,0,0,1614497756,,0,0,0,0,0,0,,0,,29400,0,0,,0,0,,1B1C118A1616AE3A
413306970,38999033,118505633,99,BOVQ7,14600,300,1643584866,1643624844,0,0,70,90,1350,0,5100,"CAOFEIDIAN,CN",200,XIN SHUN XIANG YUAN,13760,0,5,,0,0,01-30 15:30,6021072DCD0B7691
413214840,38932752,118443462,1,BODU9,32600,240,1643622919,1643624769,0,0,70,140,1390,1,4600,"CAOFEIDIAN,CN",200,TONG YUN 16,5450,0,5,通运16,0,51,01-28 02:00,06F9790DAB83105B
477407200,-6287959,105419811,2,VRMY4,24700,300,1643449140,1643192736,9669627,1643624013,70,210,1800,0,7400,"PORT LOUIS,MU",300,TOKYO SPIRIT,24520,0,0,,0,6328,02-04 20:00,C2DB7720B6AE6046
414532000,37784618,122315581,99,BORJ3,12800,290,1643593516,1643625072,0,0,70,240,2000,0,11500,"CHANGJIANGKOU,CN",340,XIN XIN YANG,12760,0,0,,0,4990,02-02 11:00,A7E4917236607671
413984000,39249428,119032745,2,BPJM,6900,360,1643623321,1643624337,9493846,0,70,140,2540,1,7600,"JING TANG,CN",430,SHI DAI 21,12000,0,5,时代21,0,0,01-28 04:30,C300277F6075E472
477815300,36476144,21626438,1,VRHB7,12400,270,1643410409,1643624772,9418327,0,70,180,1770,0,6400,"CONSTANTZA,RO",280,COSCO TAIHANGSHAN,12520,0,0,,0,5350,02-02 21:00,0C4ABFA0E309D02A
413302650,39013603,117752436,1,BFAR5,12100,130,1643392143,1643624431,0,0,80,50,530,1,2900,"TIANJIN,CN",90,HE XING YOU 1,12130,0,5,合兴油1,0,154,01-29 01:45,773E414879F369D7
477849700,30018082,131362988,2,VROZ6,9000,290,1643286451,1643306085,9712931,1643622744,70,190,2000,0,11200,"BUENAVENTURA,CO",320,PACIFIC TALISMAN,9330,0,0,,0,7768,02-24 18:00,41D9C4FD4064BAAC
355293000,40206707,122040241,1,3EUV8,18000,300,1643614817,1643624762,9606819,0,70,80,1900,0,10800,"BAYUQUAN,CN",320,HEILAN RISING,6600,0,5,,0,0,01-25 08:00,C51C910AA5D8A7CE
497132590,38900716,118444633,99,,17500,0,0,1637319379,,0,0,0,0,0,0,,0,,17170,-1200,3,,0,3704,,824AA745B7111C4A
498556830,38988911,118494137,99,,32600,0,0,1609889796,,0,0,0,0,0,0,,0,,21800,0,5,,0,0,,7034E9747C2583C9
412434240,40316448,121897975,1,BKTV3,51100,210,1643624770,1643624932,0,0,70,50,930,1,3500,"BAYUQUAN,CN",150,HUA SHENG HAI 18,20220,0,1,华盛海18,0,309,01-29 06:00,0D9EC6B348D42A1B
413980000,36598359,122956859,1,BPJP,17900,300,1643610760,1643623250,9397690,0,70,200,1900,1,12500,"LAEM CHABANG,TH",320,YIN PING,17700,0,0,银平,0,5402,02-09 18:00,632D1C1AEDBC64FD
413490790,38939449,118442065,1,BHQV,32600,200,1643617504,1643624878,0,0,70,160,1400,1,4500,"CAOFEIDIAN,CN",200,HENG JUN802,33030,0,5,恒骏802,0,0,01-30 07:00,B329C349DC8F401F
477730300,37803062,123015649,2,VROK5,11500,290,1643546347,1643623561,9741516,0,70,90,1990,0,12800,"MANZANILLO (MEXICO),MX",320,QING YUN SHAN,11300,0,0,,0,5865,02-22 12:00,914C2F165FBB1E1C
538007297,54476566,-167064601,2,V7GZ9,26400,260,1643422053,1643170780,9392432,1643622328,70,100,2290,0,12100,"HACHINOHE,JP",320,SEADUTY,27390,0,0,,0,4424,02-04 12:00,A5BE46CA310C2CEB
413443320,39128958,118529775,1,BLAF9,2600,220,1643603199,1643624993,0,0,100,90,1220,1,4200,"CAOFEIDIAN,CN",180,HENG RUN DA 21,14900,0,5,恒润达21,0,1595,01-30 20:00,7D3A47C1DA6975B2
538008037,32674261,120545091,99,V7QE8B,28000,290,1621337718,1643093852,357904656,0,82,90,1860,0,11300,"JAWAHARLAL NEHRU PORT,IN",300,ULQMOCEAN LEO,9540,538,5,,0,3035,05-14 19:30,5A2638E514ACC892
538008600,3069868,100663316,2,V7A2558,31200,290,1643458911,1642500946,9456123,1643623204,79,110,1900,0,11400,"DAR ES SALAAM,TZ",320,CHEVAL BLANC,31300,6,0,,0,5350,02-02 11:00,F93AAF09C831F218
566531000,38998804,118494130,2,9V8622,0,290,1643624992,1643624908,9569229,0,70,130,1900,0,6700,CN CFEDIAN ,320,MANDARIN CROWN,15400,0,5,,0,51,01-26 13:30,9EDC86B74E67F4BB
538070191,48651621,-123113083,99,6YRQ5,32000,110,1433753047,1433763673,54,1641339395,37,40,410,0,1900,"SEATTLE,US",80,AMERICAN PRIDE,31750,1200,5,,0,0,08-24 11:00,017E9E3A0A6D7A4F
357876000,38972802,117789202,2,3ETH2,28800,250,1643519947,1643624865,9177492,0,70,160,1540,0,8800,"TIANJIN,CN",260,HARVEY WELL,28970,0,5,,0,0,01-29 21:00,785EB8BC384BF408
667001571,38937288,118051135,2,9LU2374,29000,160,1643561609,1643624785,9569566,0,70,100,790,0,4000,"BUSAN,KR",130,OCEAN WIN 6,25070,0,1,,0,206,02-04 00:00,150A24063267E13E
413363570,40287106,122109806,1,BHXM,18100,220,1643610830,1643624847,0,0,70,50,1000,1,3500,"BAYUQUAN,CN",160,HUA HAI 601,90,0,5,华海601,0,0,01-30 07:00,9BB294B930747792
412753290,39011887,118497267,1,BLAB6,18000,290,1643625012,1643625009,0,0,70,160,1590,1,5500,"CAOFEIDIAN,CN",240,JINMING86,29810,0,5,金明86,0,8437,01-30 12:00,C94A09597AFD1BBA
413355690,38922777,118406488,1,BOHW3,51100,190,1643517037,1643624911,0,0,70,80,990,1,3200,"CAOFEIDIAN,CN",160,HUA YUAN 16,2020,0,1,华远16,0,206,01-30 13:00,4CA37170BF7B597F
374262000,40267875,122107733,2,3FNU4,27000,290,1643559014,1643624943,9132868,0,70,180,1900,0,5800,"BAYUQUAN,CN",310,HAVEN MESSENGER,26550,0,5,,0,0,01-17 03:15,0CE915C52FD2FD6B
413240950,40301208,122101790,99,FH,5500,240,1643621036,1643624698,0,0,70,100,1550,1,5000,AN GANG             ,230,GAO LAN 309,20700,0,5,高栏309,0,0,01-30 10:30,FD7374A7BEF3B935
412302830,39018501,117769928,1,BFAE9,29500,320,1643498406,1643624849,9538294,0,70,160,1900,1,6800,"TIANJIN,CN",320,RUI NING 3,1000,0,5,瑞宁3,0,0,01-30 07:18,C1CC9F359E4797D7
413704330,39297919,121143362,1,BQOC,12600,180,1643598940,1643625069,0,0,70,100,1060,1,5600,"ZHOUSHAN,CN",160,XIN RONG SHENG 5,12980,0,0,鑫荣圣5,0,3241,02-08 08:00,24F0E54C4A3B8DAC
356136000,39082468,117804396,2,3FHM8,11500,280,1642593941,1643624685,9278882,0,70,120,1900,0,2900,"TIANJIN,CN",320,STELLA ISLAND,3900,0,5,,0,0,01-15 17:30,8BA54A0DD7C5DD7A
538006683,40275052,122118086,1,V7QB4,17900,270,1643616146,1643624600,9284300,0,70,160,1900,0,6800,BAYUQUAN/CHINA      ,320,SSI CHALLENGER,17100,0,5,,0,51,01-16 18:00,782F1F03FD985F77
352753000,19454975,115409292,2,3EWE3,21300,200,1643231938,1643610749,9510034,1643617085,70,110,1150,0,9500,"CHENNAI,IN",190,FRANBO PROGRESS,21400,0,0,,0,6122,02-10 18:00,F87CCA2911BC0038
374606000,25913449,126431131,2,3FBP4,17000,340,1643430060,1642852923,9713791,1643624993,70,110,2280,0,7500,"NEWCASTLE (AUSTRALIA),AU",350,SAKIZAYA GLORY,17300,0,0,,0,6122,02-06 03:00,3EC29C4F5AAC095A
413271280,40281063,122108173,1,BDOY,0,190,1643589337,1643624775,0,0,70,120,1490,1,5200,"BAYUQUAN,CN",220,QUAN QIANG 528,34900,0,5,全强528,0,51,01-29 13:00,55B0B23F464CC00C
636019703,40687159,29456227,2,D5VT4,0,300,1643051954,1643625079,9336828,0,70,210,1900,0,6700,"YALOVA,TR",300,VICTORIA,5220,0,5,,0,51,12-31 20:00,B23746A651898674
414403590,39240191,119027911,1,BTJI2,35100,280,1643624498,1643624984,9214111,0,70,160,1900,1,11400,"ZHOUSHAN,CN",320,XING NING 75,20700,0,5,兴宁75,0,0,02-03 15:00,EF3B47FE3166F823
412763760,38902062,118546719,1,BKQX5,27200,600,1643606612,1643624688,0,0,90,50,680,1,4600,ZYH19               ,160,MIN LONG 6002,19490,0,1,民龙6002,0,51,01-31 16:00,3AB4E87F5AF3550E
414768000,19636105,115510230,1,BPOM,21100,270,1643437354,1643611908,9654206,0,70,220,1890,1,9100,HO CHI MINH         ,320,YIN HE,21200,0,0,银鹤,0,5968,02-03 06:00,6B2C5DE5D09CE980
636020688,16217574,119381357,2,5LAF7,1600,370,1643507873,1643590483,9330824,1643617955,79,200,2890,0,18100,"LIANYUNGANG,CN",450,XH NAVIGATOR,1600,0,0,,0,4373,02-06 10:00,60766CC1AB780A70
636092913,48681262,-123549515,2,D5UG7,28500,300,1643444969,1643625003,9498705,0,70,250,2290,0,7700,"VANCOUVER (CANADA),CA",380,CAROLINE OLDENDORFF,6390,0,1,,0,0,01-14 18:30,63FDBE621338C446
413191000,36288253,123420236,1,BRQK,18100,240,1643607519,1643623881,0,0,70,120,1990,1,12600,"WENZHOU,CN",320,AN YUE SHAN,18000,0,0,安悦山,0,5093,02-03 02:00,CBB053AB3BE9A2AC
411732644,38901944,118440371,99,,32700,0,0,1641802611,,0,0,0,0,0,0,,0,,23690,0,0,,0,0,,44E5A55647B7EE0F
538002977,40274098,122119808,2,V7NL8,18100,290,1643602263,1643625032,9464168,0,70,150,1900,0,11000,BAYUQUAN CHINA      ,320,RIVER GLOBE,19130,0,5,,0,0,01-25 00:54,8751D29D0DAE919A
700059051,39102648,118927858,1,,100,60,1626566876,1642235702,0,0,37,20,160,1,0,,40,YI FAN 001,320,0,0,逸帆001,0,206,,61734E07E0BC3BEB
700059058,38959962,117793932,99,,20700,0,0,1623481040,,0,0,0,0,0,0,,0,,20750,-15,0,,0,7614,,ACF97EF26F66662F
700060543,38983411,118424850,99,,34300,5110,1642294922,1643528903,0,0,30,630,10220,0,0,,1260,,34970,0,0,,0,772,,F11A0D3B3D5052C5
800044156,38329071,117847690,99,S,400,640,1637105150,1637105109,0,0,30,80,650,0,0,,80,3,32530,5,15,,0,206,,F776B3E34B76F4C3
900016250,39008700,118384832,99,,51100,110,1617435889,1642650403,0,0,30,20,410,0,0,,70,QING WU YING JI 02,60,0,0,,0,4681,,7C0FACF04C13BE38
900018963,38741904,117544494,1,,51100,100,1631574791,1631590472,0,0,30,30,250,0,0,,60,900018963,2830,0,0,,0,0,,4B1CA29484F97409
900021245,39211281,119076264,99,,51100,0,1618707375,1622709567,0,0,30,0,0,0,0,,0,HHH,7510,0,0,,0,3241,,ACB8186EB5DE6FC5
950144452,38395848,117919278,99,,35600,0,0,1611160090,,0,0,0,0,0,0,,0,,36000,0,0,,0,0,,5A7A05C8B1FE2474
950160526,38514741,119479218,99,,8300,0,0,1565107119,,0,0,0,0,0,0,,0,,31470,0,0,,0,5093,,33BE0923AD315244
970290548,39150324,118550598,99,,51100,0,0,1616737234,,0,0,0,0,0,0,,0,,50,0,15,,0,257,,F2AF30C6A3E05BDD
994136232,40324987,122103958,99,,65535,0,1640920909,1643624564,0,0,25,0,0,0,0,,0,BAYUQUAN PORT NO41,65535,0,15,,0,65535,,433887138C8B9F1A
412015000,38516752,118200135,1,BOQE,29300,300,1643622949,1643624913,9175432,0,70,90,1690,1,9700,"HUANGHUA,CN",250,LIAN FENG6,35310,0,1,莲丰6,0,0,01-31 17:30,FF7FFAD9FA4EDEC3
412031000,23475035,122837363,1,BOQI,15600,290,1643487260,1643160019,9183740,1643616627,70,200,1690,1,6500,"WEDA,ID",260,XIN HAI ZHOU 7,16300,0,0,新海洲7,0,6739,01-31 04:00,B6202849E65B71C8
412271730,24923826,119256096,1,BDSU,4700,270,1643504700,1643220825,0,0,70,120,1590,1,9000,"NINGBO,CN",230,YUAN HONG SHUN,4550,0,0,源宏顺,0,5144,02-06 08:00,C8FE421AF834EC01
412302110,35523785,119912685,1,BFAM,30800,210,1643413590,1643624383,0,0,70,60,1310,1,4500,"DONGJIAKOU,CN",180,QUAN LONG,0,0,1,全龙,0,103,01-31 08:00,44CE1AC5271CB24D
412330850,31568092,122505072,1,BCEE,21600,260,1643439590,1643624320,0,0,70,130,1490,1,8600,"SHANGHAI,CN",210,LU HAI XIN,21300,0,0,陆海鑫,0,5402,01-31 20:00,9920D6ECB0E86F8E
412355880,25613031,119705620,1,BHAS,51100,180,1643130045,1643597367,0,0,70,70,980,1,6100,"PINGTAN,CN",150,HENGSHENG22,0,0,1,恒盛22,0,51,01-25 16:26,05D285214473CB76
412356180,39805935,119776272,1,BHFO,34100,180,1643622355,1643624821,0,0,70,110,1590,1,5500,"QINHUANGDAO,CN",240,JIN TAI ZHOU,29100,0,1,金泰州,0,0,01-31 18:00,A2A8B96088D8560C
412361380,21145466,110382909,1,BHFU,29000,300,1642968190,1643624143,0,0,70,100,1490,1,8200,"ZHANJIANG,CN",210,YUANTAI99,0,0,0,远泰99,0,0,01-25 03:00,90CFF5105F9190D8
412435720,37412381,122750716,1,BKSU4,26000,230,1643580639,1643624431,0,0,70,80,1450,1,8300,"CHANGJIANGKOU,CN",210,DEQIN37,17510,0,1,德勤37,0,103,02-02 07:00,3BC2485CF831A50B
412703290,24766316,118815279,1,BVDB8,7000,230,1643058692,1643625062,0,0,70,150,1460,1,4600,"QUANZHOU,CN",210,ZHONG HAI TONG 28,13030,0,1,中海通28,0,206,01-25 19:00,4173DDA1C8C67A6C
412756320,37459934,122761173,1,BLAG4,33000,250,1643615209,1643625062,0,0,70,160,1490,1,5600,"JING TANG,CN",220,YUAN SHENG 18,33530,0,0,远胜18,0,5350,02-01 13:00,0296D87ACD7392A9
412760760,40218548,121683361,1,BKWZ4,33200,240,1643625062,1643624647,0,0,70,80,1470,1,4500,"BAYUQUAN,CN",210,DE QIN 77,22900,0,1,德勤77,0,51,01-31 19:00,0CE559E99993F597
412761310,26299774,119829788,1,BLBL3,4500,290,1643498094,1643625068,0,0,70,100,1590,1,5600,"FUZHOU,CN",240,ENJIE2,36000,0,0,恩洁2,0,309,01-03 08:08,B5123407815651E5
412761610,40207011,121708731,1,BODR5,34400,290,1643619456,1643624890,0,0,70,140,1590,1,5200,"BAYUQUAN,CN",240,YI HANG 76,25640,0,1,易航76,0,0,01-29 14:00,0F14327E3108162D
413209890,29988283,121749378,1,D,22800,260,1643498013,1643624784,0,0,70,50,1590,1,8900,"NINGBO,CN",230,GAO LAN 201,34000,0,5,高栏201,0,0,01-30 11:00,85566589254A8FD6
413214440,40030429,121574649,1,BHGA,200,300,1643256465,1643624567,0,0,70,160,1600,1,8500,BA YU QUAMNG        ,240,YONG FENG 999,29500,0,1,永丰999,0,103,01-23 08:00,51C859FF8E30CDAB
413214890,26342021,119897911,1,BOAL7,100,200,1642819699,1642830316,0,0,70,120,1600,1,5600,"FUZHOU,CN",240,YONG FENG SHENG,3960,0,5,永丰盛,0,0,01-02 07:00,8C87087AC0264FB6
413214910,39008067,118005947,99,BHRI,29400,320,1643614384,1643624904,0,0,70,110,1340,1,3600,"TIANJIN,CN",190,YONG FENG 18,22030,0,1,永丰18,0,309,01-31 12:00,C475972FD0BB4EC0
413217470,23414972,117024799,1,BOBF6,6900,380,1643438925,1643624777,0,0,70,120,1580,0,4800,"SHANTOU,CN",220,SHUN HONG FA,18130,0,1,,0,154,01-29 19:00,92F7C526E53D9B53
413226460,38004785,120687738,99,BOEM9,28800,240,1643623351,1643625072,0,0,70,90,1260,1,4800,"CAOFEIDIAN,CN",200,JIN BIN KUAI HANG178,28070,0,0,津滨快航178,0,2881,02-01 06:00,14DC59D9479F1D0F
