mmsi,lat,lon,tradetype,callsign,hdg,trail,laststa,lastdyn,imo,satelliteutc,type,left,length,matchtype,draught,dest,width,name,cog,rot,navistatus,cnname,source,sog,eta,shipid
636018051,40270096,121684559,2,D5NY5,33800,310,1643617524,1643624541,9729893,0,70,120,2290,0,7700,"YINGKOU,CN",320,PATROKLOS,9400,0,1,,0,0,01-25 06:00,0FC729F0F84D5606
412765470,32220342,122508118,1,BOIY9,18500,230,1643520109,1643620243,0,0,70,230,1900,1,10500,"CHANGJIANGKOU,CN",300,CHANG XIN 88,18400,0,0,长鑫88,0,5505,02-01 00:00,D7B763A9B34C8DA8
413302410,38916076,117706246,1,3FTH8,30200,180,1643122469,1643624694,0,0,80,120,940,1,4000,"TIANJIN,CN",140,JINYOU4,26600,0,5,津油4,0,51,01-27 09:00,02BFEA7ABF359395
413302610,39012437,117748863,1,BUAD,20700,140,1643545220,1643624989,0,0,80,40,440,0,2800,"TIANJIN,CN",80,XIN XIANG 19,20760,0,5,,0,0,12-04 17:30,5DC6F55EE4B56D53
413697680,19446112,120090199,1,BVLI,20200,300,1643275278,1643622120,9591026,0,70,240,1900,1,9400,"MANILA,PH",320,JIN HAI HUA,20800,0,0,金海华,0,6019,02-01 23:00,477D0BDF68D712CE
413302787,39083310,118394977,1,,51100,250,1624649622,1642132971,0,0,89,50,500,0,6700,PP ,90,QINGWUYINGJI02,6440,0,0,,0,0,09-23 04:36,20CF8DFC5BB89E0D
413303080,38903099,117841799,1,BIAN6,10500,200,1643591985,1643624799,0,0,52,70,390,1,4500,"TIANJIN,CN",110,JIN GANG LUN 30,28500,0,5,津港轮30,0,0,01-31 08:00,0D6CD5869CD78AFB
413303310,39068358,118407488,1,P,51100,110,1642356506,1643622593,0,0,80,40,480,1,0,,90,SHENGHAOHUANBAOYOU6,35890,11,0,盛灏环保油6,0,0,01-01 00:00,8250FFC15355E7D0
413303320,38997268,117812050,1,BQEE,20600,230,1643539483,1643624287,0,0,52,60,380,1,4200,"TIANJIN,CN",120,JINGANGLUN25,570,0,5,津港轮25,0,0,01-31 09:00,351F2BA3A7F2224C
413303530,39016587,117747923,1,0,51100,130,1642882575,1643624814,0,0,80,60,530,1,3000,"TIANJIN,CN",90,BO FENG YOU GONG 16,36000,0,5,博丰油供16,0,0,01-23 05:30,E2875B53EA86CBB1
413303583,38987317,117854483,99,,51100,100,1599466128,1641182644,0,0,53,40,440,0,0,,80,HANG TAI,26290,0,0,,0,2727,,1EB247834A4D8613
413303590,39033328,117760661,1,BOJX7,51100,160,1641141762,1643624332,0,0,53,40,430,1,0,,80,HANG FU,16100,-144,0,航福,0,51,01-01 00:00,EF5BA930BD860BED
413303608,39006686,117769853,99,BFJY,51100,100,1612513675,1643028969,0,0,53,40,440,0,0,,80,HANG TAI PP,29520,0,0,,0,3344,,451446D521849736
413303610,39039537,117766870,1,,51100,100,1643580216,1643625002,0,0,53,40,440,0,0,,80,HANG TAI,22610,0,0,,0,0,,5D87AE3E52D13EC1
413303611,38936621,117738121,99,,51100,100,1594355755,1642212843,0,0,53,40,440,0,0,,80,HANG TAI,34430,0,0,,0,3961,,D38BCFF24B1964B3
413303690,38953570,117706036,1,,9000,260,1643606230,1643625050,0,0,33,100,600,1,3000,"TIANJIN,CN",220,JIN QI 1,29740,0,0,津起1,0,1440,01-31 18:30,6C0649B418556609
413303770,39017084,117745471,1,0,51100,150,1642250348,1643624758,0,0,54,70,540,3,3000,"TIANJIN,CN",90,LIANZHONGYINGJIYOU9,15830,0,0,清裕,3,0,09-03 12:50,B3735E3BACB2ACD6
